R447	:EX_pchol_hs_b
R448	:EX_pe_hs_b
R449	:EX_pectingchol_b
R450	:EX_pectintchol_b
R451	:EX_peplys_b
R452	:EX_perillyl_b
R453	:EX_pglyc_hs_b
R454	:EX_phe_L_b
R455	:EX_pheacgln_b
R456	:EX_pheme_b
R457	:EX_phyQ_b
R458	:EX_phyt_b
R459	:EX_pi_b
R460	:EX_pmt_b
R461	:EX_pmtcoa_b
R462	:EX_pnto_R_b
R463	:EX_ppa_b
R464	:EX_ppi_b
R465	:EX_pre_prot_b
R466	:EX_prgstrn_b
R467	:EX_pro_D_b
R468	:EX_pro_L_b
R469	:EX_progly_b
R470	:EX_prostgd2_b
R471	:EX_prostge1_b
R472	:EX_prostge2_b
R473	:EX_prostgf2_b
R474	:EX_prostgh2_b
R475	:EX_prostgi2_b
R476	:EX_prpp_b
R477	:EX_ps_hs_b
R478	:EX_psyl_b
R479	:EX_psylchol_b
R480	:EX_psyltchol_b
R481	:EX_ptdca_b
R482	:EX_ptrc_b
R483	:EX_ptth_b
R484	:EX_pydam_b
R485	:EX_pydx5p_b
R486	:EX_pydx_b
R487	:EX_pydxn_b
R488	:EX_pyr_b
R489	:EX_q10_b
R490	:EX_q10h2_b
R491	:EX_rbt_b
R492	:EX_retfa_b
R493	:EX_retinol_9_cis_b
R494	:EX_retinol_b
R495	:EX_retinol_cis_11_b
R496	:EX_retn_b
R497	:EX_retnglc_b
R498	:EX_rib_D_b
R499	:EX_ribflv_b
R500	:EX_sarcs_b
R501	:EX_sbt_D_b
R502	:EX_sel_b
R503	:EX_ser_D_b
R504	:EX_ser_L_b
R505	:EX_sl_L_b
R506	:EX_slfcys_b
R507	:EX_so3_b
R508	:EX_so4_b
R509	:EX_spc_hs_b
R510	:EX_sph1p_b
R511	:EX_sphs1p_b
R512	:EX_spmd_b
R513	:EX_sprm_b
R514	:EX_srtn_b
R515	:EX_st_b
R516	:EX_strch1_b
R517	:EX_strch2_b
R518	:EX_strdnc_b
R519	:EX_succ_b
R520	:EX_sucr_b
R521	:EX_tag_hs_b
R522	:EX_tagat_D_b
R523	:EX_taur_b
R524	:EX_taxol_b
R525	:EX_tchola_b
R526	:EX_tcynt_b
R527	:EX_td_b
R528	:EX_tdchola_b
R529	:EX_tdcrn_b
R530	:EX_tdechola_b
R531	:EX_tetdec2crn_b
R532	:EX_tetdece1crn_b
R533	:EX_tethex3_b
R534	:EX_tetpent3_b
R535	:EX_thf_b
R536	:EX_thm_b
R537	:EX_thmmp_b
R538	:EX_thmtp_b
R539	:EX_thr_L_b
R540	:EX_thym_b
R541	:EX_thymd_b
R542	:EX_thyox_L_b
R543	:EX_tmndnc_b
R544	:EX_tolbutamide_b
R545	:EX_tre_b
