M407:	5oxpro_e
M408:	5pmev_c
M409:	5pmev_x
M410:	5tedtricoa_m
M411:	5tedtricoa_x
M412:	5thf_c
M413:	5thf_e
M414:	5thf_l
M415:	5thf_m
M416:	6a2ohxnt_x
M417:	6dhf_c
M418:	6dhf_e
M419:	6dhf_l
M420:	6dhf_m
M421:	6hoxmelatn_c
M422:	6htststerone_c
M423:	6htststerone_e
M424:	6htststerone_r
M425:	6pgc_c
M426:	6pgc_r
M427:	6pgl_c
M428:	6pgl_r
M429:	6pthp_c
M430:	6pthp_n
M431:	6thf_c
M432:	6thf_e
M433:	6thf_l
M434:	6thf_m
M435:	7dhchsterol_c
M436:	7dhchsterol_r
M437:	7dhf_c
M438:	7dhf_e
M439:	7dhf_l
M440:	7dhf_m
M441:	7thf_c
M442:	7thf_e
M443:	7thf_l
M444:	7thf_m
M445:	9_cis_retfa_c
M446:	9_cis_retfa_e
M447:	ACP_c
M448:	ACP_m
M449:	Asn_X_Ser_Thr_l
M450:	Asn_X_Ser_Thr_r
M451:	C01041_c
M452:	C01241_c
M453:	C01241_m
M454:	C01241_r
M455:	C01264_c
M456:	C01507_c
M457:	C01601_c
M458:	C01747_c
M459:	C01747_g
M460:	C01747_l
M461:	C01836_c
M462:	C01836_m
M463:	C02147_c
M464:	C02356_c
M465:	C02442_c
M466:	C02470_c
M467:	C02470_e
M468:	C02470_m
M469:	C02528_c
M470:	C02528_e
M471:	C02528_m
M472:	C02528_r
M473:	C02528_x
M474:	C02592_x
M475:	C02712_c
M476:	C02712_m
M477:	C02744_c
M478:	C02744_g
M479:	C03372_c
M480:	C03405_c
M481:	C03405_g
M482:	C03413_c
M483:	C03413_x
M484:	C03577_x
M485:	C03681_c
M486:	C03693_c
M487:	C03820_c
M488:	C03958_c
M489:	C03968_c
M490:	C03990_r
M491:	C03990_x
M492:	C04295_c
M493:	C04295_m
M494:	C04295_r
M495:	C04308_c
M496:	C04308_m
M497:	C04308_r
M498:	C04483_c
M499:	C04483_r
M500:	C04685_m
M501:	C04685_r
M502:	C04717_c
M503:	C04805_c
M504:	C04805_m
M505:	C04805_n
M506:	C04805_r
M507:	C04805_x
M508:	C04843_c
M509:	C04843_r
M510:	C04843_x
M511:	C04849_c
M512:	C04849_e
M513:	C04849_m
M514:	C04849_n
M515:	C04849_r
M516:	C04849_x
M517:	C04853_c
M518:	C04853_m
M519:	C05109_c
M520:	C05279_m
M521:	C05279_x
M522:	C05284_c
M523:	C05284_m
M524:	C05284_r
M525:	C05298_c
M526:	C05298_l
M527:	C05298_r
M528:	C05299_c
M529:	C05299_r
M530:	C05300_c
M531:	C05300_r
M532:	C05301_c
M533:	C05301_r
M534:	C05463_c
M535:	C05463_x
M536:	C05708_c
M537:	C05708_r
M538:	C05953_m
M539:	C05953_r
M540:	C05957_c
M541:	C05957_m
M542:	C05957_r
M543:	C05965_e
M544:	C05965_m
M545:	C05965_n
M546:	C06199_c
M547:	C06199_g
M548:	C06199_l
M549:	C06314_c
M550:	C06314_r
M551:	C06314_x
M552:	C06315_c
M553:	C06315_n
M554:	C06315_r
M555:	C06315_x
M556:	C06350_c
M557:	C06439_n
M558:	C06948_c
M559:	C06948_r
M560:	C07297_x
M561:	C07486_c
M562:	C07486_r
M563:	C07535_c
M564:	C07535_r
M565:	C08261_c
M566:	C08276_c
M567:	C08281_c
M568:	C08281_m
M569:	C08281_x
M570:	C09209_c
M571:	C09640_c
M572:	C09642_c
M573:	C10164_c
M574:	C11304_c
M575:	C11304_m
M576:	C11304_r
M577:	C11695_c
M578:	C11821_c
M579:	C13856_c
M580:	C13856_g
M581:	C13856_r
M582:	C14768_c
M583:	C14768_r
M584:	C14769_c
M585:	C14769_r
M586:	C14770_c
M587:	C14770_r
M588:	C14771_c
M589:	C14771_r
M590:	C14825_c
M591:	C14825_r
M592:	C14826_c
M593:	C14826_r
M594:	C14849_c
M595:	C14849_r
M596:	C14849_x
M597:	C14851_c
M598:	C14851_r
M599:	C14851_x
M600:	CE0074_c
M601:	CE0074_e
M602:	CE0074_n
M603:	CE0233_c
M604:	CE0233_m
M605:	CE0328_c
M606:	CE0347_c
M607:	CE0347_n
M608:	CE0347_r
M609:	CE0469_c
M610:	CE0692_c
M611:	CE0692_m
M612:	CE0692_x
M613:	CE0693_c
M614:	CE0693_m
M615:	CE0693_x
M616:	CE0695_m
M617:	CE0695_x
M618:	CE0713_c
M619:	CE0713_m
M620:	CE0713_x
M621:	CE0737_c
M622:	CE0782_c
M623:	CE0782_m
M624:	CE0782_x
M625:	CE0784_m
M626:	CE0784_x
M627:	CE0785_m
M628:	CE0785_x
M629:	CE0849_m
M630:	CE0849_x
M631:	CE0852_x
M632:	CE0853_c
M633:	CE0853_m
M634:	CE0853_x
M635:	CE0932_x
M636:	CE0955_r
M637:	CE1059_c
M638:	CE1102_c
M639:	CE1102_m
M640:	CE1102_x
M641:	CE1162_c
M642:	CE1243_c
M643:	CE1261_c
M644:	CE1262_c
M645:	CE1264_c
M646:	CE1272_c
M647:	CE1272_r
M648:	CE1273_c
M649:	CE1273_r
M650:	CE1274_c
M651:	CE1274_r
M652:	CE1277_c
M653:	CE1277_r
M654:	CE1278_c
M655:	CE1278_r
M656:	CE1279_c
M657:	CE1279_r
M658:	CE1292_c
M659:	CE1292_m
M660:	CE1293_c
M661:	CE1294_c
M662:	CE1294_m
M663:	CE1297_c
M664:	CE1297_m
M665:	CE1298_c
M666:	CE1298_m
M667:	CE1310_m
M668:	CE1352_c
M669:	CE1352_g
M670:	CE1352_l
M671:	CE1352_r
M672:	CE1401_c
M673:	CE1447_c
M674:	CE1554_c
M675:	CE1554_m
M676:	CE1556_c
M677:	CE1556_m
M678:	CE1562_c
M679:	CE1589_c
M680:	CE1589_r
M681:	CE1589_x
M682:	CE1617_c
M683:	CE1617_r
M684:	CE1661_c
M685:	CE1665_c
M686:	CE1761_c
M687:	CE1761_r
M688:	CE1787_c
M689:	CE1918_c
M690:	CE1918_m
M691:	CE1924_r
M692:	CE1925_c
M693:	CE1925_e
M694:	CE1925_l
M695:	CE1925_r
M696:	CE1926_c
M697:	CE1926_e
M698:	CE1926_l
M699:	CE1926_r
M700:	CE1935_c
M701:	CE1935_e
M702:	CE1935_x
M703:	CE1936_c
M704:	CE1936_e
M705:	CE1936_x
M706:	CE1937_c
M707:	CE1939_c
M708:	CE1939_e
M709:	CE1939_x
M710:	CE1940_c
M711:	CE1940_e
M712:	CE1940_x
M713:	CE1941_c
M714:	CE1943_c
M715:	CE1943_e
M716:	CE1943_x
M717:	CE1944_c
M718:	CE1950_c
M719:	CE1950_e
M720:	CE1950_l
M721:	CE1950_n
M722:	CE2006_c
M723:	CE2011_c
M724:	CE2011_e
M725:	CE2011_l
M726:	CE2011_m
M727:	CE2011_n
M728:	CE2020_m
M729:	CE2026_m
M730:	CE2028_c
M731:	CE2038_x
M732:	CE2047_c
M733:	CE2047_r
M734:	CE2049_c
M735:	CE2049_r
M736:	CE2053_c
M737:	CE2053_m
M738:	CE2053_r
M739:	CE2054_c
M740:	CE2054_m
M741:	CE2054_x
M742:	CE2056_c
M743:	CE2056_r
M744:	CE2061_c
M745:	CE2065_c
M746:	CE2072_c
M747:	CE2084_c
M748:	CE2084_m
M749:	CE2084_x
M750:	CE2088_c
M751:	CE2089_c
M752:	CE2095_c
M753:	CE2095_m
M754:	CE2102_c
M755:	CE2122_c
M756:	CE2152_c
M757:	CE2153_c
M758:	CE2172_c
M759:	CE2173_c
M760:	CE2174_c
M761:	CE2176_c
M762:	CE2180_c
M763:	CE2180_l
M764:	CE2180_r
M765:	CE2183_c
M766:	CE2184_c
M767:	CE2186_c
M768:	CE2189_c
M769:	CE2196_c
M770:	CE2201_c
M771:	CE2201_m
M772:	CE2202_c
M773:	CE2202_m
M774:	CE2203_c
M775:	CE2203_m
M776:	CE2204_c
M777:	CE2204_m
M778:	CE2206_c
M779:	CE2206_m
M780:	CE2207_c
M781:	CE2207_m
M782:	CE2209_c
M783:	CE2211_c
M784:	CE2211_r
M785:	CE2242_c
M786:	CE2242_n
M787:	CE2243_c
M788:	CE2245_c
M789:	CE2246_c
M790:	CE2247_c
M791:	CE2248_c
M792:	CE2248_n
M793:	CE2248_r
M794:	CE2249_c
M795:	CE2250_c
M796:	CE2250_e
M797:	CE2251_c
M798:	CE2253_c
M799:	CE2253_n
M800:	CE2254_m
M801:	CE2254_n
M802:	CE2257_c
M803:	CE2257_m
M804:	CE2303_c
M805:	CE2303_r
M806:	CE2304_c
M807:	CE2304_r
M808:	CE2305_c
M809:	CE2305_r
M810:	CE2306_c
M811:	CE2306_r
M812:	CE2313_c
M813:	CE2313_r
M814:	CE2314_c
M815:	CE2314_r
M816:	CE2315_c
M817:	CE2321_c
M818:	CE2321_n
M819:	CE2345_c
M820:	CE2345_m
M821:	CE2414_c
M822:	CE2414_x
M823:	CE2416_c
M824:	CE2416_x
M825:	CE2417_c
M826:	CE2417_m
M827:	CE2417_x
M828:	CE2418_c
M829:	CE2418_m
M830:	CE2418_x
M831:	CE2420_c
M832:	CE2420_m
M833:	CE2420_x
M834:	CE2421_c
M835:	CE2421_m
M836:	CE2421_x
M837:	CE2422_c
M838:	CE2422_m
M839:	CE2422_x
M840:	CE2424_c
M841:	CE2424_m
M842:	CE2424_x
M843:	CE2432_m
M844:	CE2432_x
M845:	CE2433_m
M846:	CE2433_x
M847:	CE2434_m
M848:	CE2434_x
M849:	CE2437_x
M850:	CE2438_x
M851:	CE2439_x
M852:	CE2440_x
M853:	CE2441_x
M854:	CE2442_m
M855:	CE2442_x
M856:	CE2445_c
M857:	CE2446_m
M858:	CE2446_x
M859:	CE2510_c
M860:	CE2512_c
M861:	CE2516_c
M862:	CE2516_r
M863:	CE2537_c
M864:	CE2540_n
M865:	CE2540_r
M866:	CE2540_x
M867:	CE2565_n
M868:	CE2565_r
M869:	CE2566_c
M870:	CE2566_n
M871:	CE2566_r
M872:	CE2566_x
M873:	CE2567_c
M874:	CE2567_n
M875:	CE2567_r
M876:	CE2567_x
M877:	CE2568_c
M878:	CE2568_r
M879:	CE2568_x
M880:	CE2569_c
M881:	CE2569_r
M882:	CE2569_x
M883:	CE2576_c
M884:	CE2577_c
M885:	CE2591_m
M886:	CE2591_x
M887:	CE2592_c
M888:	CE2592_m
M889:	CE2592_x
M890:	CE2594_m
M891:	CE2594_x
M892:	CE2596_m
M893:	CE2596_x
M894:	CE2597_c
M895:	CE2597_m
M896:	CE2597_x
M897:	CE2615_c
M898:	CE2615_r
M899:	CE2616_c
M900:	CE2616_r
M901:	CE2705_c
M902:	CE2705_n
M903:	CE2751_c
M904:	CE2754_c
M905:	CE2754_r
M906:	CE2838_c
M907:	CE2838_e
M908:	CE2839_c
M909:	CE2839_e
M910:	CE2846_c
M911:	CE2847_c
M912:	CE2848_c
M913:	CE2858_c
M914:	CE2862_c
M915:	CE2862_m
M916:	CE2863_c
M917:	CE2863_m
M918:	CE2866_c
M919:	CE2866_g
M920:	CE2866_r
M921:	CE2870_c
M922:	CE2870_g
M923:	CE2870_r
M924:	CE2872_c
M925:	CE2872_g
M926:	CE2872_r
M927:	CE2873_c
M928:	CE2873_g
