G800	:HGNC:7861
G801	:HGNC:9160
G802	:HGNC:7875
G803	:HGNC:7874
G804	:HGNC:7872
G805	:HGNC:7876
G806	:HGNC:7873
G807	:HGNC:23614
G808	:HGNC:17818
G809	:HGNC:17820
G810	:HGNC:8022
G811	:HGNC:17144
G812	:HGNC:2098
G813	:HGNC:8021
G814	:HGNC:8918
G815	:HGNC:15769
G816	:HGNC:4678
G817	:HGNC:10856
G818	:HGNC:8512
G819	:HGNC:18606
G820	:HGNC:8527
G821	:HGNC:986
G822	:HGNC:2698
G823	:HGNC:987
G824	:HGNC:12563
G825	:HGNC:8149
G826	:HGNC:8109
G827	:HGNC:8091
G828	:HGNC:2590
G829	:HGNC:2591
G830	:HGNC:2592
G831	:HGNC:2597
G832	:HGNC:2594
G833	:HGNC:2600
G834	:HGNC:2605
G835	:HGNC:2610
G836	:HGNC:2608
G837	:HGNC:2637
G838	:HGNC:2622
G839	:HGNC:2623
G840	:HGNC:2625
G841	:HGNC:2632
G842	:HGNC:2615
G843	:HGNC:17450
G844	:HGNC:2640
G845	:HGNC:2646
G846	:HGNC:18857
G847	:HGNC:2596
G848	:HGNC:2653
G849	:HGNC:9721
G850	:HGNC:8575
G851	:HGNC:8576
G852	:HGNC:8574
G853	:HGNC:8579
G854	:HGNC:9040
G855	:HGNC:9068
G856	:HGNC:9067
G857	:HGNC:19288
G858	:HGNC:9081
G859	:HGNC:9082
G860	:HGNC:9083
G861	:HGNC:8636
G862	:HGNC:8778
G863	:HGNC:8774
G864	:HGNC:8792
G865	:HGNC:8775
G866	:HGNC:8782
G867	:HGNC:8794
G868	:HGNC:8776
G869	:HGNC:8793
G870	:HGNC:8772
G871	:HGNC:8791
G872	:HGNC:8777
G873	:HGNC:8779
G874	:HGNC:8773
G875	:HGNC:8780
G876	:HGNC:8783
G877	:HGNC:8781
G878	:HGNC:8788
G879	:HGNC:8795
G880	:HGNC:8789
G881	:HGNC:8787
G882	:HGNC:8786
G883	:HGNC:8784
G884	:HGNC:8790
G885	:HGNC:8785
G886	:HGNC:8807
G887	:HGNC:8808
G888	:HGNC:8806
G889	:HGNC:2896
G890	:HGNC:30260
G891	:HGNC:8724
G892	:HGNC:8725
G893	:HGNC:8830
G894	:HGNC:8877
G895	:HGNC:8876
G896	:HGNC:8878
